Cluster;RA_ICRS;DE_ICRS;GLON;GLAT;r50;nbstars07;pmRA*;e_pmRA*;pmDE;e_pmDE;plx;e_plx;Flag;AgeNN;AVNN;DMNN;DistPc;X;Y;Z;Rgc;SimbadName;_RA.icrs;_DE.icrs
NGC_6866         ;300.983;+44.158; 79.562;  6.837; 0.104;  72; -1.365; 0.081; -5.743; 0.092; 0.686; 0.033;NN            ; 8.81; 0.48;10.74;  1406;    252;   1373;   167;  8202;NGC 6866                       ;300.9830;+44.1580
NGC_6871         ;301.548;+35.765; 72.658;  2.012; 0.371; 430; -3.129; 0.126; -6.437; 0.236; 0.514; 0.039;NN            ; 6.74; 1.19;11.18;  1720;    512;   1641;    60;  7997;NGC 6871                       ;301.5480;+35.7650
NGC_6910         ;305.797;+40.771; 78.675;  2.011; 0.089; 127; -3.415; 0.150; -5.359; 0.164; 0.545; 0.052;NN            ; 7.13; 2.83;11.19;  1729;    339;   1695;    60;  8178;NGC 6910                       ;305.7970;+40.7710
NGC_6913         ;305.943;+38.487; 76.868;  0.610; 0.106;  71; -3.409; 0.100; -5.771; 0.125; 0.553; 0.025;NN            ; 7.34; 1.80;11.03;  1608;    365;   1566;    17;  8126;NGC 6913                       ;305.9430;+38.4870
NGC_6939         ;307.917;+60.653; 95.907; 12.282; 0.123; 636; -1.841; 0.122; -5.413; 0.116; 0.506; 0.038;NN            ; 9.23; 0.85;11.30;  1815;   -182;   1764;   386;  8703;NGC 6939                       ;307.9170;+60.6530
NGC_6940         ;308.626;+28.278; 69.866; -7.163; 0.250; 572; -1.954; 0.162; -9.413; 0.155; 0.947; 0.053;NN            ; 9.13; 0.41;10.21;  1101;    376;   1026;  -137;  8029;NGC 6940                       ;308.6260;+28.2780
NGC_6991         ;313.621;+47.400; 87.350;  1.578; 0.555; 243;  5.593; 0.299;  8.509; 0.223; 1.765; 0.053;NN            ; 9.19; 0.20; 8.81;   577;     26;    576;    15;  8333;NGC 6991                       ;313.6210;+47.4000
NGC_6997         ;314.128;+44.640; 85.473; -0.475; 0.101;  88; -4.275; 0.155; -6.882; 0.190; 1.127; 0.033;NN            ; 8.81; 1.43; 9.77;   901;     71;    898;    -7;  8317;NGC 6997                       ;314.1280;+44.6400
NGC_7024         ;316.524;+41.498; 84.265; -3.863; 0.075;  32;  0.096; 0.099; -4.440; 0.086; 0.817; 0.047;NN            ; 8.32; 1.49;10.41;  1205;    120;   1196;   -81;  8306;NGC 7024                       ;316.5240;+41.4980
NGC_7031         ;316.809;+50.870; 91.336;  2.295; 0.118; 162; -1.242; 0.122; -4.205; 0.130; 0.704; 0.050;NN            ; 8.19; 2.14;10.80;  1443;    -33;   1442;    57;  8496;NGC 7031                       ;316.8090;+50.8700
NGC_7039         ;317.663;+45.597; 87.847; -1.700; 0.144; 109; -0.320; 0.287; -2.542; 0.215; 1.293; 0.077;NN            ; 7.34; 0.28; 9.39;   753;     28;    753;   -22;  8345;NGC 7039                       ;317.6630;+45.5970
NGC_7044         ;318.284;+42.494; 85.888; -4.148; 0.048; 658; -4.976; 0.142; -5.526; 0.151; 0.273; 0.078;NN            ; 9.22; 1.78;12.56;  3252;    232;   3235;  -235;  8729;NGC 7044                       ;318.2840;+42.4940
NGC_7058         ;320.448;+50.822; 92.891;  0.603; 0.109;  26;  7.432; 0.200;  2.889; 0.239; 2.730; 0.032;NN            ; 7.61; 0.18; 7.73;   350;    -17;    350;     3;  8365;NGC 7058                       ;320.4479;+50.8220
NGC_7062         ;320.862;+46.385; 89.963; -2.743; 0.048;  94; -1.914; 0.130; -4.045; 0.092; 0.398; 0.046;NN            ; 8.63; 1.41;11.98;  2492;      1;   2489;  -119;  8702;NGC 7062                       ;320.8620;+46.3850
NGC_7063         ;321.122;+36.507; 83.093; -9.888; 0.120;  64;  1.524; 0.131; -2.482; 0.123; 1.477; 0.040;NN            ; 7.99; 0.23; 9.10;   661;     78;    646;  -113;  8286;NGC 7063                       ;321.1220;+36.5070
NGC_7067         ;321.058;+48.012; 91.199; -1.676; 0.031;  61; -3.089; 0.082; -3.297; 0.087; 0.153; 0.044;NN            ; 6.79; 2.27;13.61;  5269;   -110;   5265;  -154;  9956;NGC 7067                       ;321.0580;+48.0120
NGC_7082         ;322.186;+47.103; 91.115; -2.859; 0.195; 282; -0.293; 0.123; -1.106; 0.109; 0.729; 0.050;NN            ; 7.79; 0.79;10.63;  1339;    -26;   1337;   -66;  8472;NGC 7082                       ;322.1860;+47.1030
